what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.300.v200811200330,org.eclipse.wst.common.emfworkbench.integration,1288717784765
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,org.eclipse.wst.common.frameworks,1288717784968
started,bundle,org.eclipse.wst.common.modulecore,1.1.300.v200904132230,org.eclipse.wst.common.modulecore,1288717785468
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.0.v200906080535,org.eclipse.wst.common.project.facet.core,1288717785468
started,bundle,org.eclipse.wst.jsdt.core,1.0.200.v200905201910,org.eclipse.wst.jsdt.core,1288717785515
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,org.eclipse.wst.jsdt.manipulation,1288717785515
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,org.eclipse.wst.jsdt.ui,1288717785515
started,bundle,org.eclipse.wst.sse.core,1.1.400.v200905141750,org.eclipse.wst.sse.core,1288717785515
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,org.eclipse.wst.validation,1288717785515
started,bundle,org.eclipse.wst.web,1.1.300.v200901261500,org.eclipse.wst.web,1288717785515
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,org.eclipse.wst.ws.service.policy.ui,1288717785515
started,bundle,org.eclipse.wst.xml.core,1.1.400.v200904300540,org.eclipse.wst.xml.core,1288717785515
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20091124-0800,org.eclipse.ui.navigator.ProjectExplorer,1288717856296
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20091124-0800,org.eclipse.ui.navigator.ProjectExplorer,1288717856296
closed,view,org.eclipse.ui,3.6.0.I20091209-1800a,org.eclipse.ui.internal.introview,1288717856406
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,,1288717878546
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,,1288717884015
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,,1288717884218
