what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.core,1.1.0.v20091027-0948,org.eclipse.equinox.p2.core,1296396716203
started,bundle,org.eclipse.equinox.p2.director,1.0.100.v20091023,org.eclipse.equinox.p2.director,1296396716203
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.100.v20091010,org.eclipse.equinox.p2.directorywatcher,1296396716203
started,bundle,org.eclipse.equinox.p2.engine,1.1.0.v20091109,org.eclipse.equinox.p2.engine,1296396716203
started,bundle,org.eclipse.equinox.p2.exemplarysetup,1.0.100.v20091023,org.eclipse.equinox.p2.exemplarysetup,1296396716203
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20090831,org.eclipse.equinox.p2.garbagecollector,1296396716203
started,bundle,org.eclipse.equinox.p2.metadata,1.0.100.v20091019,org.eclipse.equinox.p2.metadata,1296396716203
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.0.100.v20091023,org.eclipse.equinox.p2.metadata.repository,1296396716203
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.0.100.v20091010,org.eclipse.equinox.p2.reconciler.dropins,1296396716203
started,bundle,org.eclipse.equinox.p2.repository,1.0.0.v20091010,org.eclipse.equinox.p2.repository,1296396716203
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20091010,org.eclipse.equinox.p2.ui.sdk.scheduler,1296396716203
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.0.v20091010,org.eclipse.equinox.p2.updatechecker,1296396716203
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20091203,org.eclipse.equinox.preferences,1296396716203
started,bundle,org.eclipse.equinox.registry,3.5.0.v20091203,org.eclipse.equinox.registry,1296396716203
started,bundle,org.eclipse.equinox.security,1.0.200.v20090928,org.eclipse.equinox.security,1296396716718
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.200.v20090911-1356,org.eclipse.equinox.simpleconfigurator.manipulator,1296396716718
started,bundle,org.eclipse.help,3.5.0.v20091130,org.eclipse.help,1296396716718
started,bundle,org.eclipse.jface,3.6.0.I20091207-1800,org.eclipse.jface,1296396716718
started,bundle,org.eclipse.jsch.core,1.1.100.I20090825-0800,org.eclipse.jsch.core,1296396716718
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.2.I20091216-0000-e3x,org.eclipse.mylyn.bugzilla.core,1296396716718
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.2.I20091216-0000-e3x,org.eclipse.mylyn.bugzilla.ui,1296396716718
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,org.eclipse.mylyn.commons.net,1296396716718
started,bundle,org.eclipse.mylyn.commons.ui,3.3.2.I20091216-0000-e3x,org.eclipse.mylyn.commons.ui,1296396716734
started,bundle,org.eclipse.mylyn.context.core,3.3.2.I20091216-0000-e3x,org.eclipse.mylyn.context.core,1296396716734
started,bundle,org.eclipse.mylyn.context.ui,3.3.2.I20091216-0000-e3x,org.eclipse.mylyn.context.ui,1296396716750
