what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jet.ui,0.9.0.v20080527,org.eclipse.jet.ui,1296396716859
started,bundle,org.eclipse.jst.jsf.common,1.1.5.v20090505,org.eclipse.jst.jsf.common,1296396716859
started,bundle,org.eclipse.jst.jsf.core,1.2.0.v20090514,org.eclipse.jst.jsf.core,1296396716890
started,bundle,org.eclipse.m2m.atl.adt.wizard,2.0.1.v200809170426,org.eclipse.m2m.atl.adt.wizard,1296396716890
started,bundle,org.eclipse.pde.ui,3.4.0.v20080803-1700,org.eclipse.pde.ui,1296396716906
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090527,org.eclipse.ui.views.log,1296396716906
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,org.eclipse.wst.common.frameworks,1296396716906
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.0.v200906080535,org.eclipse.wst.common.project.facet.core,1296396716906
started,bundle,org.eclipse.wst.web,1.1.300.v200901261500,org.eclipse.wst.web,1296396716906
started,bundle,org.eclipse.stp.eid,0.8.0.200806121858,org.eclipse.stp.eid,1296396726218
started,bundle,org.eclipse.stp.soas.deploy.util,0.8.0.200806121858,org.eclipse.stp.soas.deploy.util,1296396726734
started,bundle,org.eclipse.stp.soas.deploy.core,0.8.0.200806121858,org.eclipse.stp.soas.deploy.core,1296396726734
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,org.eclipse.wst.ws.service.policy.ui,1296396727015
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,,1296396797453
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,,1296396799765
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,,1296396816171
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,,1296397793734
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20091209-1800,,1296397798968
